                  FRECUENCIA DE PALABRAS
================================================================================
PALABRA                     FRECUENCIA
LA                            28
QUE                           26
A                             24
Y                             24
EL                            24
DE                            22
SE                            16
UN                            15
CON                           14
LE                            13
LAS                           13
UNA                           12
SU                            11
POR                           11
DEL                           9
SUERTE                        8
SEMILLAS                      7
EN                            7
AL                            7
LO                            6
NO                            6
VASIJAS                       6
HORMIGA                       6
CAPERUCITA                    5
COMERCIANTE                   5
PALOMA                        5
ASI                           4
DIA                           4
CAMINO                        4
VASO                          4
BUENA                         4
ERA                           4
SUS                           4
VIO                           4
MALA                          4
UNO                           3
ROJO                          3
LOS                           3
OTRO                          3
ABUELA                        3
SIN                           3
HABIA                         3
ROJA                          3
LLENABA                       3
CAER                          3
MAS                           3
VACIARLO                      3
TODAS                         3
GALLOS                        3
GALLINERO                     3
GALLO                         3
COMO                          3
DOS                           3
BOSQUE                        2
VIAJERO                       2
PASABA                        2
ALLI                          2
CESTA                         2
MUY                           2
SACO                          2
TORTA                         2
TARRO                         2
MANTEQUILLA                   2
CADA                          2
TODO                          2
UNAS                          2
CUANDO                        2
LOBO                          2
MADRE                         2
PREGUNTO                      2
DONDE                         2
AQUELLAS                      2
ERAN                          2
VERDES                        2
ROJAS                         2
YO                            2
O                             2
SEGUN                         2
LLEGAR                        2
CUIDADO                       2
ESTABA                        2
PODIA                         2
QUERIA                        2
REGALO                        2
SIGUIO                        2
POCO                          2
MUJER                         2
IBA                           2
PORQUE                        2
TIEMPO                        2
AGUILA                        2
NINA                          2
ELLA                          2
MATORRAL                      2
TAN                           2
DESPUES                       2
VEZ                           2
ORILLA                        2
HOJA                          2
CAZADOR                       2
ENCANTADA                     1
APENABA                       1
CAMINABA                      1
OIR                           1
HOMBRE                        1
TRANQUILAMENTE                1
ABRIO                         1
LES                           1
LLEVABA                       1
EXTRANO                       1
ARTILUGIO                     1
FORMADO                       1
CUMPLEANOS                    1
VASOS                         1
CRISTAL                       1
UNIDOS                        1
MITAD                         1
DECORADOS                     1
EXTRANOS                      1
DIBUJOS                       1
AYUDABA                       1
VERDE                         1
PARTES                        1
PRONTO                        1
TODOS                         1
CUALES                        1
CASA                          1
RARAS                         1
MI                            1
ABUELITA                      1
MISMO                         1
COLOR                         1
LLEVARLE                      1
ESTO                          1
ES                            1
JUSTO                         1
NECESITAS                     1
ESTA                          1
RESPONDIO                     1
ANTE                          1
ASOMBRO                       1
MERCADER                      1
EXPLICO                       1
EMPEZARON                     1
TAMBIEN                       1
IR                            1
VERLA                         1
NUNCA                         1
PODIAN                        1
SEPARARSE                     1
ALGUNA                        1
ELLAS                         1
LLAMARLA                      1
PROVOCABA                     1
MULTIPLES                     1
SUCESOS                       1
MUCHO                         1
HACEMOS                       1
HUBIERAN                      1
DESBORDADO                    1
U                             1
OTRAS                         1
ILUSIONADO                    1
AGRADECIO                     1
CARRERA                       1
APENAS                        1
ESCUCHAR                      1
ULTIMAS                       1
PALABRAS                      1
ADVIRTIENDOLE                 1
DIFICIL                       1
UTILIZAR                      1
ESPERANZADO                   1
EXAMINO                       1
TU                            1
AUNQUE                        1
FAMILIARES                    1
VE                            1
SEGURO                        1
PODER                         1
ENCONTRAR                     1
ALGUIEN                       1
QUIEN                         1
COMPRARLE                     1
VARIAS                        1
CUBRIO                        1
BOCA                          1
SUMO                          1
EVITANDO                      1
PUDIERAN                      1
ESE                           1
DESCUIDO                      1
LUEGO                         1
MIRO                          1
PENSO                         1
FORMA                         1
VIVIA                         1
SEGURA                        1
EVITAR                        1
LLENARA                       1
AQUI                          1
HIZO                          1
IRE                           1
ESTE                          1
CRUZO                         1
CAPERUZA                      1
VER                           1
DIJO                          1
DEBIO                         1
RECONOCERLAS                  1
ENFERMO                       1
CORRIO                        1
PEDIRLE                       1
BUEN                          1
PUNADO                        1
NEGO                          1
ROTUNDAMENTE                  1
FUE                           1
MALDICIENDO                   1
ENTRE                         1
DIENTES                       1
VOLVIO                        1
TENER                         1
ENCUENTROS                    1
SIMILARES                     1
PIDIO                         1
DESCUBRIO                     1
SOLO                          1
PARECIO                       1
MENOS                         1
LOGICO                        1
SI                            1
TENDRIAN                      1
MUCHA                         1
GRACIA                        1
PARABA                        1
SEGUIA                        1
PERO                          1
LLEGO                         1
MOMENTO                       1
RAPIDO                        1
CASI                          1
FINALMENTE                    1
DESBORDO                      1
LLEVARA                       1
GUSTABA                       1
RENIAN                        1
DIARIO                        1
DOMINIO                       1
UNOS                          1
VENCIO                        1
OBLIGO                        1
ESCONDERSE                    1
MALOS                         1
CONTENTO                      1
HABER                         1
DESTERRADO                    1
RIVAL                         1
NEGOCIOS                      1
VENCEDOR                      1
SUBIO                         1
ALTO                          1
EXTENDIENDO                   1
ALAS                          1
MIENTRAS                      1
CANTABA                       1
FUERZAS                       1
PARA                          1
CONTARLE                      1
MUNDO                         1
VICTORIA                      1
VOLABA                        1
